Geno,F,M
DS11.06087,IA3023,PI643395
DS11.06088,IA3023,PI643395
DS11.06089,IA3023,PI643395
DS11.06090,IA3023,PI643395
DS11.06092,IA3023,PI643395
DS11.06093,IA3023,PI643395
DS11.06094,IA3023,PI643395
DS11.06095,IA3023,PI643395
DS11.06115,IA3023,PI643395
DS11.06116,IA3023,PI643395
DS11.06117,IA3023,PI643395
DS11.06118,IA3023,PI643395
DS11.06119,IA3023,PI643395
DS11.06122,IA3023,PI643395
DS11.06123,IA3023,PI643395
DS11.06124,IA3023,PI643395
DS11.06125,IA3023,PI643395
DS11.06127,IA3023,PI643395
DS11.06128,IA3023,PI643395
DS11.06130,IA3023,PI643395
DS11.06131,IA3023,PI643395
DS11.06132,IA3023,PI643395
DS11.06133,IA3023,PI643395
DS11.06134,IA3023,PI643395
DS11.06139,IA3023,PI643395
DS11.06140,IA3023,PI643395
DS11.06141,IA3023,PI643395
DS11.06142,IA3023,PI643395
DS11.06143,IA3023,PI643395
DS11.06144,IA3023,PI643395
DS11.06145,IA3023,PI643395
DS11.06146,IA3023,PI643395
DS11.06147,IA3023,PI643395
DS11.06148,IA3023,PI643395
DS11.06149,IA3023,PI643395
DS11.06150,IA3023,PI643395
DS11.06151,IA3023,PI643395
DS11.06152,IA3023,PI643395
DS11.06154,IA3023,PI643395
DS11.06156,IA3023,PI643395
DS11.06157,IA3023,PI643395
DS11.06158,IA3023,PI643395
DS11.06159,IA3023,PI643395
DS11.06160,IA3023,PI643395
DS11.06161,IA3023,PI643395
DS11.06162,IA3023,PI643395
DS11.06163,IA3023,PI643395
DS11.06164,IA3023,PI643395
DS11.06165,IA3023,PI643395
DS11.06167,IA3023,PI643395
DS11.06168,IA3023,PI643395
DS11.06170,IA3023,PI643395
DS11.06171,IA3023,PI643395
DS11.06174,IA3023,PI643395
DS11.06178,IA3023,PI643395
DS11.06179,IA3023,PI643395
DS11.06182,IA3023,PI643395
DS11.06183,IA3023,PI643395
DS11.06185,IA3023,PI643395
DS11.06186,IA3023,PI643395
DS11.06187,IA3023,PI643395
DS11.06188,IA3023,PI643395
DS11.06192,IA3023,PI643395
DS11.06194,IA3023,PI643395
DS11.06195,IA3023,PI643395
DS11.06197,IA3023,PI643395
DS11.06198,IA3023,PI643395
DS11.06202,IA3023,PI643395
DS11.06203,IA3023,PI643395
DS11.06205,IA3023,PI643395
DS11.06207,IA3023,PI643395
DS11.06208,IA3023,PI643395
DS11.06210,IA3023,PI643395
DS11.06212,IA3023,PI643395
DS11.06213,IA3023,PI643395
DS11.06214,IA3023,PI643395
DS11.06216,IA3023,PI643395
DS11.06217,IA3023,PI643395
DS11.08002,HS6.3976,IA3023
DS11.08003,HS6.3976,IA3023
DS11.08004,HS6.3976,IA3023
DS11.08005,HS6.3976,IA3023
DS11.08006,HS6.3976,IA3023
DS11.08008,HS6.3976,IA3023
